,modelo_trabalho_atual,bancos_dados_usados_dia_a_dia,tamanho_empresa,desafios_gestor,cargo_atual,satisfacao_trabalho,idade,area_formacao,linguagem_principal,nivel_hierarquico,id_participante,linguagens_usadas_dia_a_dia,situacao_trabalho,tamanho_equipe_dados,criterios_escolha_emprego,modelo_trabalho_ideal,regiao_residencia,atua_como_gestor,tempo_busca_emprego_meses,experiencia_dados_anos,setor_atuacao,nivel_ensino,ano,experiencia_anos_num,regiao_origem,entrevistas_ultimos_6m,genero,uf_residencia,motivos_insatisfacao,salario_medio_mensal,planos_mudar_emprego,grupo_cargo,faixa_idade,experiencia_ti_anos,ferramentas_bi_usadas_dia_a_dia,tipo_oportunidade_buscada,faixa_salarial
0,Modelo 100% presencial,,de 101 a 500,"Garantir a manutenção dos projetos e modelos em produção, em meio ao crescimento da empresa., Garantir retorno do investimento (ROI) em projetos de dados., Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.",,1.0,38.0,Química / Física,,,qkx4q0ei90wcjxnqkx4q0j3xgf0zn13s,,Empregado (CLT),4 - 10,Benefícios,Modelo híbrido com dias fixos de trabalho presencial,Nordeste,1.0,,Mais de 10 anos,Marketing,Pós-graduação,2021,12.0,,"Sim, fui aprovado e mudei de emprego",Masculino,CE,,5000.5,Estou em busca de oportunidades dentro ou fora do Brasil,Não se aplica/Outra área,35-39,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 4.001/mês a R$ 6.000/mês
1,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,de 1 a 5,Convencer a empresa a aumentar os investimentos na área de dados.,,1.0,39.0,Economia/ Administração / Contabilidade / Finanças,,,zdl2n19yhgpnoaco6kkczdl2nwv9zwrt,,Empreendedor ou Empregado (CNPJ),1 - 3,Flexibilidade de trabalho remoto,Modelo 100% remoto,Nordeste,1.0,,de 2 a 3 anos,Consultoria,Pós-graduação,2021,2.5,Sudeste,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Masculino,BA,,7000.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Não se aplica/Outra área,35-39,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 6.001/mês a R$ 8.000/mês
2,Modelo 100% presencial,,de 1001 a 3000,"Dividir o tempo entre entregas técnicas e gestão de pessoas., Conseguir levar inovação para a empresa através dos dados., Gestão de projetos envolvendo áreas multidisciplinares da empresa.",,0.0,30.0,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,vsamqp2un3q7us84mgvsams5fulsmcoh,,Empregado (CLT),Ainda não temos pessoas atuando com dados na empresa,Oportunidade de aprendizado e trabalhar com referências na área,Modelo 100% remoto,Sul,1.0,,de 1 a 2 anos,Indústria,Pós-graduação,2021,1.5,,"Sim, fui aprovado mas decidi não mudar de emprego",Masculino,SC,O clima de trabalho/ambiente não é bom,10000.5,Estou em busca de oportunidades dentro ou fora do Brasil,Não se aplica/Outra área,30-34,de 2 a 3 anos,,,de R$ 8.001/mês a R$ 12.000/mês
3,Modelo 100% presencial,,de 1001 a 3000,"Conseguir levar inovação para a empresa através dos dados., Organizar as informações e garantir a qualidade e confiabilidade., Convencer a empresa a aumentar os investimentos na área de dados.",,0.0,38.0,Outras,,,v31ab41botodnsv31zgg4k34zzojy81l,,Empreendedor ou Empregado (CNPJ),1 - 3,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Remuneração/Salário",Modelo híbrido com dias fixos de trabalho presencial,Sudeste,1.0,,Mais de 10 anos,Serviços,Pós-graduação,2021,12.0,,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Feminino,SP,Falta de maturidade analítica na empresa,14000.5,Estou em busca de oportunidades dentro ou fora do Brasil,Não se aplica/Outra área,35-39,Menos de 1 ano,,,de R$ 12.001/mês a R$ 16.000/mês
4,Modelo 100% presencial,,de 6 a 10,"Garantir retorno do investimento (ROI) em projetos de dados., Gestão de projetos envolvendo áreas multidisciplinares da empresa., Convencer a empresa a aumentar os investimentos na área de dados.",,0.0,36.0,Outras Engenharias,,,ubhu8ntvm4xc0sfkdubhu80e973eek0k,,Empreendedor ou Empregado (CNPJ),Ainda não temos pessoas atuando com dados na empresa,"Maturidade da empresa em termos de tecnologia e dados, Propósito do trabalho e da empresa, Remuneração/Salário",Modelo 100% remoto,Sul,1.0,,de 1 a 2 anos,Varejo,Pós-graduação,2021,1.5,,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Masculino,SC,"Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom",10000.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Não se aplica/Outra área,35-39,de 4 a 5 anos,,,de R$ 8.001/mês a R$ 12.000/mês
5,Modelo híbrido com dias fixos de trabalho presencial,,de 6 a 10,Convencer a empresa a aumentar os investimentos na área de dados.,,1.0,,Economia/ Administração / Contabilidade / Finanças,,,isz60pt4c22u98xjzztisz6qzaa0fikw,,Empreendedor ou Empregado (CNPJ),4 - 10,Oportunidade de aprendizado e trabalhar com referências na área,Modelo híbrido com dias fixos de trabalho presencial,Sudeste,1.0,,de 4 a 5 anos,Indústria,Pós-graduação,2021,4.5,,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Masculino,SP,,10000.5,Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses,Não se aplica/Outra área,55+,de 1 a 2 anos,,,de R$ 8.001/mês a R$ 12.000/mês
6,Modelo híbrido com dias fixos de trabalho presencial,,de 6 a 10,"Dividir o tempo entre entregas técnicas e gestão de pessoas., Garantir a manutenção dos projetos e modelos em produção, em meio ao crescimento da empresa.",,1.0,24.0,Outras Engenharias,,,rcxg4kxm9ow0u54hrcxgxkzcd50ib9dk,,Empreendedor ou Empregado (CNPJ),4 - 10,"Remuneração/Salário, Propósito do trabalho e da empresa, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido com dias fixos de trabalho presencial,Sul,1.0,,de 1 a 2 anos,Tecnologia/Fábrica de Software,Estudante de Graduação,2021,1.5,,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Masculino,SC,,3500.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Não se aplica/Outra área,22-24,de 1 a 2 anos,,,de R$ 3.001/mês a R$ 4.000/mês
7,Modelo 100% remoto,,de 101 a 500,"Dividir o tempo entre entregas técnicas e gestão de pessoas., Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados., Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.",,1.0,51.0,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,95glgjuiaf07xh95g4qt3ufh62qh0bos,,Empregado (CLT),1 - 3,"Propósito do trabalho e da empresa, Reputação que a empresa tem no mercado, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Sudeste,1.0,,Mais de 10 anos,Tecnologia/Fábrica de Software,Pós-graduação,2021,12.0,,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Masculino,SP,,14000.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Não se aplica/Outra área,50-54,Mais de 10 anos,,,de R$ 12.001/mês a R$ 16.000/mês
8,Modelo 100% presencial,,de 101 a 500,"Garantir retorno do investimento (ROI) em projetos de dados., Conseguir levar inovação para a empresa através dos dados., Convencer a empresa a aumentar os investimentos na área de dados.",,0.0,39.0,Economia/ Administração / Contabilidade / Finanças,,,nc3chpdm6n3rtgib20inc3chp9psycoz,,Empregado (CLT),1 - 3,"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% presencial,Sudeste,1.0,,de 1 a 2 anos,Setor Alimentício,Graduação/Bacharelado,2021,1.5,,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Masculino,MG,"Falta de oportunidade de crescimento no emprego atual, Gostaria de receber mais benefícios",5000.5,Estou em busca de oportunidades dentro ou fora do Brasil,Não se aplica/Outra área,35-39,Menos de 1 ano,,,de R$ 4.001/mês a R$ 6.000/mês
9,Modelo 100% presencial,,de 101 a 500,"Reter talentos., Gestão de equipes no ambiente remoto., Organizar as informações e garantir a qualidade e confiabilidade.",,0.0,27.0,Outras Engenharias,,,kw6mzziiifjl1q7nikw628l4at14q8jr,,Empregado (CLT),Ainda não temos pessoas atuando com dados na empresa,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa",Modelo híbrido com dias fixos de trabalho presencial,Sudeste,1.0,,de 1 a 2 anos,Telecomunicação,Pós-graduação,2021,1.5,,Não participei de entrevistas de empregos/processos seletivos nos últimos 6 meses,Masculino,SP,Gostaria de trabalhar em em outra área de atuação,5000.5,"Não estou buscando, mas me considero aberto a outras oportunidades",Não se aplica/Outra área,25-29,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,de R$ 4.001/mês a R$ 6.000/mês
