ano,regiao_residencia,salario_medio,salario_mediana,contagem
2021,Centro-oeste,10145.84,10000.5,172
2021,Exterior,19366.43,14000.5,41
2021,Nordeste,7225.48,5000.5,240
2021,Norte,7519.69,5000.5,26
2021,Sudeste,9563.7,7000.5,1519
2021,Sul,8567.26,7000.5,367
2022,Centro-oeste,8876.81,7000.5,190
2022,Nordeste,7462.67,5000.5,423
2022,Norte,7121.46,5000.5,62
2022,Não informado,17730.81,14000.5,76
2022,Sudeste,10200.97,10000.5,2337
2022,Sul,8932.84,7000.5,606
2023,Centro-oeste,10299.84,10000.5,304
2023,Nordeste,8025.45,7000.5,501
2023,Norte,7891.79,7000.5,69
2023,Não informado,18762.67,18000.5,103
2023,Sudeste,10907.44,10000.5,2890
2023,Sul,9483.01,7000.5,886
2024,Centro-oeste,10175.49,7000.5,300
2024,Nordeste,9664.93,7000.5,447
2024,Norte,8719.79,7000.5,57
2024,Não informado,21608.25,22500.5,130
2024,Sudeste,12599.66,10000.5,2940
2024,Sul,10384.22,10000.5,989
